point_id,depth,init_id,config_id,E,L,R,block_index,qubit_index,is_terminal_block,chain_rule_grad,fd_grad_h1e-03,rel_err_h1e-03,fd_grad_h1e-04,rel_err_h1e-04,fd_grad_h1e-05,rel_err_h1e-05,convergence_ratio_1,convergence_ratio_2
0,1,0,1,0,0,0,1,0,True,-5.5993525219566465e-05,-5.59935158794822e-05,1.668065053047009e-07,-5.5993525371889064e-05,2.720360941399411e-09,-5.599352648211208e-05,2.2548064474895366e-08,61.31778425655977,0.1206472043056385
0,1,0,1,0,0,0,1,1,True,-0.0037561872424515252,-0.0037561866164104174,1.6666930252239738e-07,-0.003756187236247932,1.6515665472121487e-09,-0.003756187239023489,9.126371625123278e-10,100.91588667967142,1.809663922369411
0,1,0,1,0,0,0,1,2,True,0.0007252288433407528,0.0007252287224646103,1.6667310399833773e-07,0.0007252288419801189,1.8761441168854055e-09,0.0007252288436454534,4.201440738133904e-10,88.8381135000612,4.465477996290164
0,1,0,1,0,0,0,1,3,True,0.00019226921154968935,0.00019226917952197553,1.6657744397162304e-07,0.00019226921110782058,2.2981774369351765e-09,0.00019226921166293207,5.889800061797498e-10,72.48241206030151,3.9019617182621302
1,1,0,2,1,0,0,1,0,True,0.00012232738266310106,0.00012232736223971585,1.669567741958134e-07,0.000122327382112708,4.499344729493198e-09,0.00012232738155759648,9.037261753692086e-09,37.10690872415532,0.4978659302033643
1,1,0,2,1,0,0,1,1,True,0.0016874687655550336,0.0016874684843348753,1.6665206729255783e-07,0.0016874687630563656,1.480719519214051e-09,0.0016874687647217,4.938364704190428e-10,112.54803163600818,2.9984004987675226
1,1,0,2,1,0,0,1,2,True,0.0007295701790679399,0.0007295700574783126,1.6665926149947532e-07,0.0007295701776044439,2.0059701356359796e-09,0.0007295701764942207,3.5277197423204744e-09,83.08162646032469,0.5686308103138846
1,1,0,2,1,0,0,1,3,True,-0.00046223931470212865,-0.00046223923766408603,1.6666267918270055e-07,-0.00046223931404743013,1.4163626865952514e-09,-0.0004622393190434337,9.391899176250766e-09,117.66949296252332,0.15080684534782893
2,1,0,3,0,1,0,1,0,True,0.16105075392188628,0.16105072708005874,1.6666688534376755e-07,0.16105075365313581,1.6687315009778556e-09,0.16105075391625867,3.494308069027724e-11,99.87639428278477,47.75570636627276
2,1,0,3,0,1,0,1,1,True,-0.01477617856589114,-0.014776176103237226,1.6666378950039455e-07,-0.014776178541286988,1.6651228150338285e-09,-0.014776178569597674,2.508451916448062e-10,100.09098908239308,6.638049564018045
2,1,0,3,0,1,0,1,2,True,-0.02026321692523836,-0.020263213548032954,1.6666679415615723e-07,-0.020263216892191238,1.6308921094575213e-09,-0.020263216926608152,6.759998537430675e-11,102.1936357344908,24.12562814070352
2,1,0,3,0,1,0,1,3,True,-0.006393131695137,-0.006393130629667176,1.666585132745935e-07,-0.006393131684045983,1.734833180761683e-09,-0.00639313170180955,1.043706097594307e-09,96.06601667684362,1.6621855374423806
3,1,0,5,1,1,0,1,0,True,0.09079613891557337,0.09079612378287694,1.666667394672752e-07,0.09079613876417092,1.6674987278538733e-09,0.09079613891294079,2.899434651320222e-11,99.95014489862962,57.511167809717605
3,1,0,5,1,1,0,1,1,True,0.06547700141052656,0.06547699049769262,1.666666723730217e-07,0.06547700130143941,1.6660377479882691e-09,0.06547700140968615,1.2835210164809369e-11,100.03775279057797,129.802140097097
3,1,0,5,1,1,0,1,2,True,0.1268789737205278,0.1268789525740166,1.6666678952927346e-07,0.12687897350927013,1.6650329981633024e-09,0.12687897371632673,3.311095449459722e-11,100.09819007378445,50.28646934460888
3,1,0,5,1,1,0,1,3,True,0.013084904948013176,0.013084902767190876,1.6666703420378163e-07,0.013084904926241592,1.6638702857759466e-09,0.01308490494844605,3.308195392306618e-11,100.16828573031245,50.295405454144706
4,1,1,1,0,0,0,1,0,True,-0.003035063104826985,-0.0030350625989661317,1.6667226865942456e-07,-0.003035063099732227,1.6786332846756545e-09,-0.0030350631063935647,5.161605248750707e-10,99.29045860164089,3.2521535525831697
4,1,1,1,0,0,0,1,1,True,-9.080113973602977e-06,-9.080112439718846e-06,1.689278499456404e-07,-9.08011443812029e-06,5.115765229969307e-08,-9.08011443812029e-06,5.115765229969307e-08,3.3021032504780115,1.0
4,1,1,1,0,0,0,1,2,True,-0.0013352752620045538,-0.0013352750394268753,1.6669048311144852e-07,-0.0013352752598061457,1.646408186212624e-09,-0.001335275257030588,3.7250490907378666e-09,101.24493093957528,0.4419829500519414
4,1,1,1,0,0,0,1,3,True,0.005330078605638167,0.00533007771730265,1.666646182888235e-07,0.0053300785968213304,1.6541662520200389e-09,0.005330078606258225,1.1633199766238207e-10,100.75445444815212,14.219357401742114
5,1,1,2,1,0,0,1,0,True,0.016878265156853922,0.01687826234381129,1.6666657420200882e-07,0.01687826512886126,1.6585036129243628e-09,0.016878265157727057,5.1731317739245965e-11,100.49213815587254,32.05995295314388
